-7033.7,-6098.959701,1
-7031.4,-5930.875,1
-2,-1.983333333,0
-2,-1.99,0
-2,-1.952380952,0
-1.8,-1.983333333,0
-1.8,-1.947368421,0
-7098.4,-6022.258065,1
-2,-1.942857143,0
-2,-1.953846154,0
-3552.1,-5872.461224,1
-5608.5,-6013.052809,1
-2,-1.959090909,0
-5494.2,-6007.287778,1
-1.8,-1.947619048,0
-2,-2,0
-2,-1.986666667,0
-2,-1.983673469,0
-2,-1.952941176,0
-1.8,-1.933333333,0
-2,-1.984615385,0
-2,-1.987878788,0
-2,-1.955882353,0
-7079.5,-6218.2375,1
-2,-1.96,0
-2,-1.956756757,0
-2,-1.95,0
-2,-1.985,0
-5521.7,-6083.670667,1
-2,-2,0
-2,-1.983333333,0
-2,-1.948837209,0
-2,-1.960416667,0
-1.8,-1.981818182,0
-2,-1.961616162,0
-2,-1.983333333,0
-2,-1.956521739,0
-2,-1.983050847,0
-1.8,-1.94,0
-1.8,-1.945454545,0
-2,-1.954929577,0
-2,-2,0
-2,-1.933333333,0
-2,-1.959036145,0
-7083.2,-6084.79697,1
-4120.2,-5534.288571,1
-2,-2,0
-7038.2,-5891.256364,1
-2,-1.985185185,0
-5472.8,-5582.6125,1
-2,-1.9875,0
-7241.4,-5657.332609,1
-5785.7,-5605.177778,1
-2,-1.960824742,0
-2,-1.95,0
-2,-1.95,0
-1.8,-1.949090909,0
-5664.1,-6043.267073,1
-4722.3,-6119.230986,1
-5447.7,-5674.575,1
-2,-1.988235294,0
-2,-1.948387097,0
-2,-1.95,0
-6998.5,-5500.989474,1
-7047.1,-5929.635088,1
-4298.1,-6093.432,1
-2,-1.95,0
-2,-1.951111111,0
-4189.1,-5481.37561,1
-5600.6,-6052.88875,1
-2,-1.942857143,0
-2,-2,0
-3554.4,-5946.621053,1
-7133,-5986.206667,1
-2,-2,0
-2,-1.945454545,0
-2,-1.947058824,0
-5752.7,-6030.669412,1
-2,-1.982608696,0
-2,-1.948148148,0
-4085.4,-5619.854545,1
-7065.5,-6340.557895,1
-1.8,-1.949152542,0
-5549,-6099.943836,1
-2,-1.951612903,0
-2,-2,0
-2,-1.95,0
-2,-1.958536585,0
-7012.4,-5870.016667,1
-7048.5,-6375.955,1
-5445.4,-6075.272368,1
-2,-1.947368421,0
-7110.7,-5830.827273,1
-7061.3,-5518.992857,1
-2,-1.95,0
-2,-1.95,0
-2,-1.982758621,0
-2,-1.951020408,0
-2,-1.950943396,0
-7101.1,-6053.790625,1
-2,-1.95,0
-2,-2,0
-4033.9,-5720.3,1
-2,-1.981132075,0
-2,-1.985714286,0
-1.8,-1.949019608,0
-1.8,-1.944444444,0
-1.8,-1.945454545,0
-7017.3,-5825.967308,1
-1.8,-1.958695652,0
-5281.5,-6107.595833,1
-5666.2,-6026.431395,1
-2,-1.96,0
-7109.2,-6004.616393,1
-2,-1.957333333,0
-4210.3,-5892.764286,1
-7116.6,-5688.380851,1
-5755.5,-5741.45,1
-2,-1.95,0
-2,-1.981818182,0
-6937.4,-6402.690476,1
-2,-1.951351351,0
-1.8,-1.946666667,0
-6923,-5909.680357,1
-5111.9,-6344.018182,1
-4040.5,-5667.80625,1
-2,-1.952380952,0
-2,-1.96122449,0
-4145.1,-5776.513333,1
-2,-1.957894737,0
-3503.8,-5824.972,1
-1.8,-1.980392157,0
-6921.6,-6300.283333,1
-5568.2,-6062.871795,1
-5457.7,-6091.264865,1
-5727.4,-5727.4,1
-5615.1,-6069.296104,1
-5767.7,-5750.2,1
-7171,-5802.607843,1
-2,-1.948717949,0
-2,-1.958024691,0
-2,-1.955223881,0
-2,-1.981481481,0
-6921.9,-6139.187143,1
-2,-1.95,0
-2,-1.982608696,0
-2,-1.954545455,0
-5622.5,-6038.19759,1
-2,-1.988571429,0
-7051,-5716.76875,1
-2,-1.959139785,0
-7022.5,-5553.95814,1
-7053.6,-5540.8,1
-1.8,-1.954285714,0
